track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_ms_log,duration_ms_scaled,loudness_clipped,loudness_scaled,tempo_clipped,tempo_scaled,danceability_scaled,energy_scaled,valence_scaled,speechiness_log,speechiness_scaled,acousticness_scaled,liveness_scaled,instrumentalness_binary,key_sin,key_cos,mode_scaled,time_signature_orig,time_signature_1,time_signature_3,time_signature_4,time_signature_5
2w1gsuyH8vJO2aH7JAaa4x,Leonardo;Eduardo Costa,Cabaré Night Club (Ao Vivo),Só Mais uma Vez - Ao Vivo,46,168600,0,0.633,0.634,2,-6.059,1,0.0306,0.226,0.0,0.781,0.371,95.074,3,sertanejo,12.035290255730404,-0.5872739606616915,-6.059,0.4243232583838735,95.074,-0.9534560760239978,0.402552307037664,-0.05266234862916499,-0.37386656396922424,0.030141156911986846,-0.5780791273489367,0.22690763052208837,0.786399752347539,0,0.8660254037844386,0.5000000000000001,0.7507857519179617,3,False,True,False,False
3eMXjRo2in703wNBZVEliG,Saeed Dehghan,Vintage Effort,Spiral Void,0,347280,0,0.634,0.664,10,-7.82,0,0.0623,0.00203,0.11,0.171,0.171,120.014,4,iranian,12.757889529490177,1.3019793185431603,-7.82,0.04960725520061536,120.014,-0.10910395721311673,0.40819233982574704,0.06731658572468396,-1.133437930530386,0.06043636880383069,-0.20567603406682658,0.002038152610441767,0.1569497471881127,0,-0.8660254037844386,0.5000000000000001,-1.331937902984166,4,False,False,True,False
6a4tzCwGfCJFPMOVN8s2o0,Mitch Fatel,Miniskirts and Muffins - EP,I Love My Penis,22,164840,1,0.538,0.797,8,-12.169,1,0.95,0.918,1.76e-05,0.586,0.448,75.923,1,comedy,12.012736651923069,-0.6462409033340698,-12.169,-0.8757987060963691,75.923,-1.6018196456850717,-0.13325080783022522,0.5992231946934139,-0.0814315878431769,0.6678293725756554,7.260686447571297,0.9216867469879519,0.5851821277473945,0,-0.8660254037844385,-0.5000000000000004,0.7507857519179617,1,True,False,False,False
74kWrMnfu1RIkXzjHpIjKJ,Vadim Kozin,Velikie ispolniteli Rossii XX veka: Vadim Kozin (Deluxe Version),Dva druga,0,178161,0,0.554,0.195,4,-10.144,1,0.298,0.994,0.0174,0.0589,0.566,95.537,3,romance,12.090448527732631,-0.44306132436429435,-10.144,-0.44490722032345725,95.537,-0.9377810547325205,-0.04301028322089641,-1.8083540880071531,0.3667155184279083,0.26082461828189824,2.2575912383139403,0.997991967871486,0.04127541017438861,0,0.8660254037844387,-0.4999999999999998,0.7507857519179617,3,False,True,False,False
5momcZeBnYAHWzxTxVO0pq,Planet Hemp,Usuário,Fazendo a Cabeça,42,200106,0,0.698,0.73,4,-8.146,0,0.094,0.00786,8.57e-05,0.214,0.537,116.189,4,punk-rock,12.206607502468696,-0.1393608753071854,-8.146,-0.019760954360851048,116.189,-0.23860062339000618,0.7691544382630616,0.3312702413031512,0.25657767027654016,0.08984070399978947,0.15577598092393616,0.007891566265060242,0.20132081312558042,0,0.8660254037844387,-0.4999999999999998,-1.331937902984166,4,False,False,True,False
5jXwDTzWWPK4AzJwHEHdkQ,Daddy Yankee;Myke Towers;Jhayco,Frescura y Perreo,SÚBELE EL VOLUMEN,2,223366,1,0.83,0.623,6,-4.056,1,0.0801,0.0219,0.0,0.0812,0.614,101.036,4,latin,12.316571437606619,0.14814249287729053,-4.056,0.8505334539409809,101.036,-0.7516105534758633,1.5136387662900237,-0.09665462455890961,0.5490126464025873,0.07705362944229141,-0.001408795873194318,0.021987951807228918,0.06428645134661026,0,1.2246467991473532e-16,-1.0,0.7507857519179617,4,False,False,True,False
6yvANotr5Vy1D1vxLsjZzC,Horace Andy,Serious Times,Crazy,27,298840,0,0.693,0.547,7,-11.135,1,0.235,0.137,2.83e-06,0.088,0.603,170.694,4,dub,12.607666938356392,0.9092187204962482,-11.135,-0.6557780659535587,170.694,1.6066845504587137,0.7409542743226464,-0.4006012582553265,0.5072362212417233,0.2110709700799405,1.6459958298174835,0.13755020080321287,0.07130327107625632,0,-0.4999999999999997,-0.8660254037844388,0.7507857519179617,4,False,False,True,False
6GM93QLita5nZknl6G2s4M,Noisia;Mefjus,The Resonance IV,Concussion - Mefjus Remix,44,226046,0,0.607,0.98,1,-0.488,1,0.25,0.000282,0.841,0.566,0.396,172.039,4,breakbeat,12.328498221234552,0.17932535715308595,-0.488,1.6097536125769065,172.039,1.6522199794803911,0.25591145454750464,1.3310946942518915,-0.2789201431490789,0.22314355131420976,1.7943977162803344,0.000283132530120482,0.5645444226602002,1,0.49999999999999994,0.8660254037844387,0.7507857519179617,4,False,False,True,False
0Fc9QSMX6fgEBgDjUax7t7,Zara Larsson;Steve James,Ruin My Life (Remixes),Ruin My Life - Steve James Remix,55,177096,1,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952,4,swedish,12.084452884045291,-0.45873707980522394,-6.487,0.3332508850945865,123.952,0.02421836210834485,0.9101552579651379,0.759195107165212,0.6591504945539558,0.03816246109434892,-0.47947745721265445,0.01034136546184739,0.06655659890620164,0,-0.5000000000000004,0.8660254037844384,0.7507857519179617,4,False,False,True,False
0XlsXcBfpJq4cFXJM5BOXK,Random Noise Generation;Octave One,Endustry,Soul Xchange - Original Mix,5,412984,0,0.541,0.587,2,-9.766,1,0.0392,4.01e-06,0.691,0.0548,0.444,126.016,4,detroit-techno,12.931166551671005,1.7550162841944899,-9.766,-0.36447414297918035,126.016,0.09409577883752146,-0.11633070946597607,-0.24062934578352835,-0.09662301517440015,0.038451186374252724,-0.4759283093232526,4.026104417670683e-06,0.03704468063151378,1,0.8660254037844386,0.5000000000000001,0.7507857519179617,4,False,False,True,False
